source,target,relationship,source_type,target_type
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,IL 60603,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,IL 60628,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Board of Ethics,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Minority Owned Business Enterprise,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Women Owned Business Enterprise,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Bureau of Labor Statistics,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Corporation Counsel,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,City of Chicago Board of Ethics,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Women's Business Enterprises Commitment,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,American Arbitration Association,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,k. Equal Employment Opportunity Compliance,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,IL 60608,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Yes Contractor Advisors Business Development Corp,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,S. Michigan Avenue,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Yes Far South Community Development Corporation,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Suite D Chicago,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Start Home Community Development Corp,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Yes Federation of Women Contractors,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,IL 60606 Phone,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Yes Greater Englewood Community Development Corp,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Scope of Services,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Automobile Liability Insurance,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,"Group Vision Care, Group Life Insurance Program",has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Shakman v. Democratic Organization of Cook County,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,MCC Ch,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Deloitte & Touche LLP Enterprise Risk Management,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Limited Liability Company,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Excess/Umbrella Liability Insurance,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Contractor’s IP,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,E. 75th Street,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,IL 60649,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,"Yes South Shore Chamber, Inc",has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,"Yes St. Paul Church of God in Christ Community Development Ministries, Inc",has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Monroe Foundation,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,IL 60010,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,S. King Drive,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Yes Women’s Business Development Center,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,4th Floor,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,IL 60603 Phone,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Yes Your Community Consultants Foundation,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,IL 60620,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Yes Women Construction Owners & Executives,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,City Corporation Counsel,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,ERM Consulting Services,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Minority/Women Business Enterprise,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Women Owned Business Enterprises,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,PROFESSIONAL SERVICES AGREEMENT,has title,Pages,title
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,GX520-XPPRO,has author,Pages,author
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,DOF,has author,Pages,author
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,1161257.7c76ac4a80d85424d62773482f8c87c30402442c,has parent,Pages,parent
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,7b0a418ab5639288e72369faa2ff201f37ee7f19,has pdfHash,Pages,pdfHash
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,CIty of Chicago ERM Contract 5-1-2020.docx,has fileName,Pages,fileName
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,879519,has fileSize,Pages,fileSize
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,application/vnd.openxmlformats-officedocument.wordprocessingml.document,has mimeType,Pages,mimeType
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,1161257.7c76ac4a80d85424d62773482f8c87c30402442c,has ancestors,Pages,parent
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,2020-04-24T22:36:00,has authoredAt,Pages,authoredAt
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,2020-05-02T03:19:00,has modifiedAt,Pages,modifiedAt
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,b4a021be07dc577d795d06a6a677b54ca248395e,has contentHash,Pages,contentHash
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,aacanatlassoc@gmail.com,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,the51ststreetbusinessassociation@yahoo.com,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,nakmancorp@aol.com,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,asmith5283@yahoo.com,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,aogrc@angelofgodresourcecenter.org,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,aaabna@yahoo.com,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,bcunewera@att.net,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Karen.r@businessleadershipcouncil.org,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,jholston@lgbtcc.com,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,melindakelly@cbaworks.org,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,pbarreda@chicagomsdc.org,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,aalcantar@ihccbusiness.net,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,jperez@haciaworks.org,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,jlmbizcenter@gmail.com,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,LarryIvory@illinoisblackchamber.org,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,vgilb66709@yahoo.com,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,d.lorenzopadron@laccusa.com,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,wjaehn@nawbochicago.org,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,grandevents1@sbcglobal.net,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,markallen2800@aol.com,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,neighborhooddevservices@gmail.com,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,jmitchell@rainbowpush.org,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,jvellinga@cwit2.org,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,sbrinston@thechicagourbanleague.org,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,info@contractoradvisors.us,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,rmcgowan@cosmochamber.org,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,dennisdoforself@hotmail.com,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,lacy@farsouth.org,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Info@freshstartnow.us,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,fwcchicago@aol.com,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,greaterpilsen@gmail.com,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,jharbin@greaterenglewoodcdc.org,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,c.james@greatersouthwest.org,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,halstedchamberevents@gmail.com,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,ymoyo@realmencook.com,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,rtwvetcenter@yahoo.com,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,ttrice@southshorechamberinc.org,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,spcdm@sbcglobal.net,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,omonroe@themonroefoundation.org,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,admin@usminoritycontractors.org,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,drleonfinney312@gmail.com,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,fcurry@wbdc.org,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,allen81354@aol.com,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,mkm@mkmservices.com,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Stephen.murphy@cityofchicago.org,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Bruce.Coffing@cityofchicago.org,has emailMentioned,Pages,emailMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Good Faith Efforts,has peopleMentioned,Pages,peopleMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Howard Niles,has peopleMentioned,Pages,peopleMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Austin African American Business Networking Assoc,has peopleMentioned,Pages,peopleMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,N. Clark St,has peopleMentioned,Pages,peopleMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,W. Adams,has peopleMentioned,Pages,peopleMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Cynthia Vitters,has peopleMentioned,Pages,peopleMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,W. Jackson Boulevard Chicago,has peopleMentioned,Pages,peopleMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Hamilton Blvd,has peopleMentioned,Pages,peopleMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,c. Joint Ventures,has peopleMentioned,Pages,peopleMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Sample Format,has peopleMentioned,Pages,peopleMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Jayne Vellinga,has peopleMentioned,Pages,peopleMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,W. Jackson Blvd,has peopleMentioned,Pages,peopleMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Chris Musto,has peopleMentioned,Pages,peopleMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,S. Parnell Ave,has peopleMentioned,Pages,peopleMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Monica Jimenez,has peopleMentioned,Pages,peopleMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Stephen Murphy Bruce Coffing HIPAA Privacy,has peopleMentioned,Pages,peopleMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Shannon E. Andrews,has peopleMentioned,Pages,peopleMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,City Council of the City,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,טוא‎ BE,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Women Business Enterprises,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Good Faith Efforts,has companiesMentioned,Pages,peopleMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,African American Contractors Association - AACA P.O. Box,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,IL 60615,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Yes Association of Asian Construction Enterprises,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,IL 60651,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,IL 60606,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,2nd Floor,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Yes Chatham Business Association Small Business Dev,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Deloitte & Touche LLP,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,MCC Sect,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,City Council,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,h. Changes,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,IL 60654,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Hispanic American Construction Industry Association,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,IL 60661 Phone,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,IL 60612 Phone,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Yes National Association of Women Business Owners,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,IL 60201,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,IL 60603,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,IL 60628,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Board of Ethics,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Minority Owned Business Enterprise,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Women Owned Business Enterprise,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Bureau of Labor Statistics,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Corporation Counsel,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,City of Chicago Board of Ethics,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Women's Business Enterprises Commitment,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,American Arbitration Association,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,k. Equal Employment Opportunity Compliance,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,IL 60608,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Yes Contractor Advisors Business Development Corp,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,S. Michigan Avenue,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Yes Far South Community Development Corporation,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Suite D Chicago,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Start Home Community Development Corp,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,Yes Federation of Women Contractors,has companiesMentioned,Pages,companiesMentioned
aaf1c5a9b016115bc126a156437e5aee1a358984.f76091ac0cdd356fe50b31e46ea13f1c364bca17,IL 60606 Phone,has companiesMentioned,Pages,companiesMentioned
